Gene Set Name	Description	No.Genes in Overlap (k)	No.query genes after removing redundancy	Category	No.Genes of this gene set	Overlap Genes	p value	FDR
UBIQUITIN_LIGASE_COMPLEX	GO:0000151   ubiquitin ligase complex,    GOslim:cellular_component	20	736	CC	234	AT4G28450//AT3G16650//AT5G52820//AT5G15550//AT1G15440//AT3G56990//AT2G47990//AT3G18140//AT3G49180//AT3G10530//AT4G01860//AT4G31160//AT2G46280//AT2G34260//AT4G05410//AT2G47790//AT1G20140//AT4G04940//AT2G19540//AT5G14050	6.85664797999031e-06	0.000780611867060084
SODIUM_ION_TRANSMEMBRANE_TRANSPORT	GO:0035725   sodium ion transmembrane transport,    GOslim:biological_process	1	736	BP	49	AT3G05030	0.717441300707114	1
CYSTEINE_BIOSYNTHESIS_I	cysteine biosynthesis I	1	736	Cyc	14	AT3G03630	0.315408414861951	1
SVP_COLAMP_V3B	SVP_colamp_v3b(AT2G22540) Target genes predicted by DAP-seq	207	736	TFT	8790	AT1G72440//AT1G64660//AT2G38195//AT2G39020//AT5G40670//AT5G60670//AT1G17560//AT1G49760//AT1G07920//AT3G62870//AT1G51310//AT3G57660//AT3G21540//AT4G24480//AT4G15850//AT4G18905//AT5G16620//AT1G16960//AT1G03860//AT3G22860//AT1G32550//AT1G30160//AT4G25730//AT5G67220//AT3G07630//AT1G57720//AT5G52470//AT1G63780//AT5G11410//AT3G56150//AT1G36180//AT3G55510//AT2G22490//AT1G22960//AT1G17470//AT3G61620//AT3G23940//AT4G25340//AT5G53230//AT5G16130//AT5G06550//AT4G05380//AT5G14610//AT4G02820//AT1G30580//AT5G58610//AT5G37130//AT5G60360//AT2G34357//AT1G72320//AT2G47990//AT3G55690//AT4G35490//AT4G02930//AT3G27550//AT3G10610//AT5G27230//AT2G18180//AT4G39040//AT4G32400//AT4G00930//AT1G27470//AT2G43110//AT2G34520//AT4G22720//AT4G21770//AT1G65230//AT5G62370//AT5G07090//AT1G47490//AT1G10840//AT2G16570//AT5G14580//AT1G77550//AT1G48920//AT1G42440//AT4G25630//AT1G73180//AT5G55150//AT5G53860//AT2G39990//AT2G44120//AT1G68660//AT5G08620//AT4G11420//AT1G52980//AT1G20140//AT1G73680//AT5G18570//AT3G16650//AT3G51750//AT1G30240//AT1G69070//AT1G17690//AT1G26470//AT1G60770//AT3G13882//AT3G60360//AT4G34265//AT4G00620//AT1G49920//AT4G31160//AT1G21400//AT5G13280//AT3G55620//AT3G11710//AT5G18790//AT4G37910//AT4G24830//AT1G03910//AT5G24280//AT5G22440//AT1G62390//AT4G05410//AT5G51020//AT3G60980//AT2G21450//AT5G57890//AT1G20370//AT4G08868//AT3G23480//AT1G09640//AT2G38310//AT5G23710//AT5G41765//AT2G28000//AT1G29900//AT2G18193//AT1G06670//AT2G40570//AT1G70160//AT3G01160//AT1G11070//AT4G13750//AT5G09840//AT2G18020//AT4G19210//AT1G14810//AT3G22310//AT3G20050//AT5G35760//AT4G28030//AT1G57870//AT2G21440//AT4G30990//AT5G66400//AT5G46790//AT3G11940//AT5G14490//AT3G55010//AT3G03060//AT4G04940//AT1G79150//AT5G55920//AT1G04170//AT1G67120//AT3G22120//AT3G42723//AT2G47790//AT1G47500//AT3G57350//AT1G80410//AT1G63810//AT3G46210//AT5G04150//AT1G67865//AT3G55160//AT2G34750//AT2G24255//AT1G20400//AT3G24780//AT4G04030//AT3G09680//AT5G15550//AT2G06420//AT3G20440//AT5G27470//AT4G37980//AT2G44860//AT3G07750//AT1G08610//AT2G04030//AT1G64600//AT5G26270//AT5G11270//AT2G35040//AT3G56070//AT4G01860//AT1G01250//AT4G23540//AT2G20585//AT2G34570//AT5G26180//AT2G37270//AT3G11964//AT5G04800//AT5G39740//AT1G29395//AT5G20160//AT4G31210//AT5G37490//AT3G11410//AT2G23350//AT2G20060//AT1G17960//AT2G41840//AT4G38810	0.927308047686839	1
POSITIVE_REGULATION_OF_NITROGEN_COMPOUND_METABOLIC_PROCESS	GO:0051173   positive regulation of nitrogen compound metabolic process,    GOslim:biological_process	18	736	BP	475	AT5G23300//AT2G45280//AT5G52470//AT3G47450//AT2G35500//AT3G48500//AT3G01610//AT4G28200//AT3G57290//AT3G54090//AT2G34900//AT5G17270//AT4G05400//AT4G39040//AT3G19210//AT1G75240//AT2G06990//AT5G22650	0.0707485524254985	1
SNRNA_MODIFICATION	GO:0040031   snRNA modification,    GOslim:biological_process	2	736	BP	3	AT3G03920//AT1G03530	0.00590842332070604	0.369786312043379
MITOTIC_CELL_CYCLE	GO:0000278   mitotic cell cycle,    GOslim:biological_process	10	736	BP	303	AT4G28450//AT2G45280//AT2G40030//AT3G01610//AT4G28200//AT5G27620//AT2G22490//AT3G19630//AT2G06990//AT1G80620	0.257003716065972	1
PETAL_FORMATION	GO:0048451   petal formation,    GOslim:biological_process	1	736	BP	73	AT2G40030	0.846076242018759	1
AT2G01060_COLAMP_A	At2g01060_colamp_a(AT2G01060) Target genes predicted by DAP-seq	187	736	TFT	8619	AT1G72440//AT1G51380//AT2G40030//AT1G60850//AT5G57490//AT1G48570//AT3G63130//AT2G30770//AT3G21540//AT4G24480//AT4G21770//AT1G71280//AT4G15850//AT4G31810//AT1G74270//AT1G16960//AT1G08910//AT4G37090//AT2G06990//AT1G32550//AT3G06530//AT1G63660//AT3G28070//AT1G20220//AT5G22650//AT3G56150//AT5G30490//AT4G36580//AT1G36180//AT5G15750//AT1G29720//AT3G62460//AT2G35580//AT1G57720//AT5G57050//AT5G25754//AT2G24120//AT5G16130//AT5G60960//AT3G14700//AT4G02820//AT1G30580//AT1G73700//AT2G03670//AT5G37130//AT3G48250//AT3G49140//AT4G27010//AT1G25350//AT2G47990//AT4G00620//AT3G56490//AT5G65860//AT5G17710//AT3G10610//AT5G27230//AT4G16630//AT1G79950//AT1G10450//AT3G15080//AT4G39300//AT5G62370//AT1G80620//AT3G57660//AT4G35490//AT2G03820//AT5G14580//AT5G41660//AT1G61570//AT4G25630//AT2G42720//AT2G47610//AT4G19210//AT1G09620//AT5G64420//AT4G07410//AT5G58130//AT1G79150//AT3G52140//AT2G15000//AT1G52980//AT5G57030//AT4G24280//AT5G23300//AT1G60770//AT5G55920//AT2G03710//AT1G49920//AT2G17250//AT3G03150//AT3G48500//AT5G05450//AT4G02930//AT4G27640//AT2G27840//AT1G03910//AT5G22440//AT1G32580//AT3G56120//AT2G43110//AT1G64220//AT4G28450//AT2G40700//AT4G15640//AT4G08868//AT3G23480//AT1G09640//AT5G15360//AT1G29900//AT1G30160//AT3G20300//AT3G49500//AT1G06670//AT3G57940//AT1G70160//AT5G40490//AT3G60500//AT1G14060//AT3G03920//AT3G20050//AT5G51540//AT2G31660//AT1G24148//AT3G53630//AT5G46790//AT3G58660//AT4G31700//AT4G04940//AT1G55040//AT3G16840//AT1G67120//AT5G13940//AT3G06200//AT5G55510//AT1G62540//AT1G07940//AT5G20160//AT1G68990//AT1G70440//AT1G80410//AT1G63810//AT3G56570//AT3G55160//AT2G34750//AT3G24780//AT4G32510//AT3G09680//AT1G10490//AT3G20440//AT5G27470//AT1G30960//AT1G73490//AT3G02760//AT1G13160//AT1G14610//AT2G40510//AT2G04030//AT3G05030//AT1G29965//AT1G26880//AT1G64050//AT5G52820//AT3G49010//AT4G25340//AT2G41190//AT3G30770//AT1G07930//AT4G01860//AT5G11240//AT3G62310//AT4G23540//AT1G30680//AT2G18193//AT1G67870//AT5G48120//AT2G37270//AT2G25625//AT5G56680//AT3G11964//AT3G06930//AT5G08600//AT5G37490//AT5G06360//AT5G35910//AT3G13470//AT4G37380//AT1G02870	0.996912066311928	1
MYB116_COLAMP_A	MYB116_colamp_a(AT1G25340) Target genes predicted by DAP-seq	153	736	TFT	7574	AT1G49760//AT5G60990//AT2G40030//AT1G60850//AT1G48570//AT3G62120//AT2G16650//AT5G39850//AT3G57660//AT5G26270//AT1G71280//AT5G25230//AT4G18905//AT5G47930//AT3G12390//AT1G32550//AT5G60670//AT4G10620//AT5G65850//AT2G19385//AT3G04770//AT3G56150//AT5G30490//AT3G16810//AT4G13150//AT2G35580//AT4G37380//AT5G25754//AT5G53230//AT1G71730//AT2G43650//AT1G08910//AT1G20220//AT3G48250//AT3G49140//AT1G25350//AT2G44120//AT4G00620//AT3G56490//AT3G51800//AT3G57150//AT5G27120//AT4G16630//AT3G01345//AT5G35530//AT5G61880//AT1G10450//AT4G22720//AT1G47490//AT2G16570//AT5G14580//AT3G55280//AT1G48920//AT1G42440//AT5G53860//AT4G10480//AT2G06990//AT5G46160//AT5G14050//AT1G79150//AT2G15000//AT5G57030//AT2G18110//AT4G32400//AT1G17690//AT5G40200//AT4G11211//AT1G08410//AT4G15730//AT3G62310//AT1G10840//AT5G51330//AT3G14600//AT5G13280//AT3G26730//AT4G27640//AT1G09810//AT5G24280//AT5G22440//AT1G27510//AT3G49180//AT2G39990//AT3G58660//AT2G23070//AT2G20585//AT5G48240//AT3G57940//AT1G58380//AT5G09840//AT1G49540//AT3G60500//AT3G22310//AT3G20050//AT5G35760//AT2G36070//AT1G57870//AT2G31660//AT3G54090//AT1G24148//AT3G53630//AT3G11964//AT3G55010//AT3G03060//AT1G55040//AT3G60360//AT3G51750//AT3G16840//AT2G17670//AT3G06200//AT5G04150//AT1G32870//AT3G23620//AT1G68990//AT2G46230//AT1G67865//AT3G60880//AT3G55160//AT3G20440//AT2G24255//AT1G70440//AT4G32510//AT5G20290//AT5G15550//AT1G10490//AT1G30960//AT3G12670//AT1G57660//AT1G13160//AT2G40510//AT3G05030//AT4G34740//AT1G29965//AT3G51130//AT1G21400//AT5G45095//AT3G49010//AT5G14520//AT3G30770//AT1G07930//AT4G01860//AT1G01250//AT3G58700//AT5G48120//AT4G19210//AT2G25625//AT1G22780//AT4G31210//AT5G37490//AT5G40490//AT5G35910//AT1G07430//AT1G02870//AT1G17960	0.999759809714103	1
MEIOSIS_I	GO:0007127   meiosis I,    GOslim:biological_process	6	736	BP	153	AT2G42720//AT2G45280//AT5G51330//AT3G26730//AT3G19210//AT5G15610	0.206999513429508	1
RNA_METHYLTRANSFERASE_ACTIVITY	GO:0008173   RNA methyltransferase activity,    GOslim:molecular_function	5	736	MF	25	AT2G39670//AT5G15810//AT3G19630//AT1G51310//AT5G24840	0.000808473266327105	0.0678208758958816
MACROMOLECULAR_COMPLEX_SUBUNIT_ORGANIZATION	GO:0043933   macromolecular complex subunit organization,    GOslim:biological_process	25	736	BP	691	AT1G64660//AT3G10610//ATCG00540//AT5G42980//AT1G12920//AT2G04390//AT3G23990//AT3G57290//AT1G74560//AT1G03860//AT3G11400//AT4G37925//AT3G04770//AT4G25340//AT3G55620//AT1G18800//AT2G05220//AT2G31660//AT4G15770//AT5G04800//AT1G67120//AT2G35500//AT1G26630//AT1G72370//AT4G27640	0.0589449662917085	1
OXIDOREDUCTASE_ACTIVITY,_ACTING_ON_NADH_OR_NADPH,_QUINONE_OR_SIMILAR_COMPOUND_AS_ACCEPTOR	GO:0016655   oxidoreductase activity, acting on NADH or NADPH, quinone or similar compound as acceptor,    GOslim:molecular_function	1	736	MF	48	AT4G37925	0.710201754557996	1
INNATE_IMMUNE_RESPONSE	GO:0045087   innate immune response,    GOslim:biological_process	8	736	BP	926	AT3G49500//AT4G37980//AT5G37490//AT2G30770//AT1G79950//AT4G32400//AT3G51130//AT1G67870	0.999943900405969	1
PYRIDINE_NUCLEOTIDE_METABOLIC_PROCESS	GO:0019362   pyridine nucleotide metabolic process,    GOslim:biological_process	3	736	BP	214	AT1G19150//AT1G32550//AT1G65230	0.909625706887933	1
AT5G45580_COLAMP_A	AT5G45580_colamp_a(AT5G45580) Target genes predicted by DAP-seq	354	736	TFT	16092	AT1G72440//AT5G16620//AT1G16960//AT2G46280//AT5G20600//AT3G28070//AT3G56150//AT4G36580//AT3G45430//AT4G20690//AT5G16130//AT3G03341//AT5G60960//AT2G35500//AT3G14700//AT3G49140//AT1G72320//AT1G25350//AT4G00620//AT4G02930//AT1G79950//AT5G61880//AT2G34520//AT2G20800//AT1G65230//AT3G57000//AT5G07090//AT1G77550//AT1G48920//AT4G24480//AT3G13150//AT5G08620//AT2G15000//AT1G52980//AT5G57030//AT1G30240//AT1G08410//AT2G45310//AT4G15730//AT2G03710//AT2G17250//AT3G60960//AT3G03150//AT5G05450//AT5G36900//AT2G44510//AT1G12250//AT2G21450//AT5G41360//AT3G23480//AT4G30150//AT1G09640//AT2G38310//AT5G56810//AT1G29900//AT3G22660//AT5G57490//AT1G23280//AT2G31660//AT2G25640//AT3G11940//AT4G31700//AT3G16840//AT5G13940//AT3G06200//AT1G07940//AT3G23620//AT1G63810//AT1G67865//AT3G12860//AT3G20440//AT2G40590//AT1G52315//AT3G55160//AT4G37980//AT3G07750//AT3G24780//AT3G30770//AT2G39850//AT5G48120//AT5G05060//AT1G07430//AT5G10240//AT5G60990//AT1G51380//AT1G48570//AT1G22960//AT1G18850//AT2G19540//AT4G15850//AT5G25230//AT4G18905//AT1G29940//AT5G61770//AT1G57720//AT1G63780//AT5G22650//AT5G11410//AT1G36180//AT4G09800//AT1G15250//AT2G35580//AT2G43650//AT1G17470//AT1G28530//AT5G19820//AT1G56110//AT2G24120//AT1G29965//AT3G27710//AT3G13940//AT3G48250//AT3G10610//AT2G18180//AT2G21640//AT3G01610//AT4G16630//AT1G14810//AT1G15790//AT1G80620//AT3G55280//AT3G15640//AT5G23900//AT5G46160//AT5G58130//AT3G52140//AT4G11420//AT3G10530//AT5G01445//AT5G03390//AT5G62270//AT5G65860//AT2G34970//AT1G32580//AT1G62390//AT2G23070//AT4G28450//AT4G15640//AT3G03920//AT3G05130//AT3G01160//AT2G37270//AT2G34900//AT3G20050//AT5G52520//AT4G30990//AT1G24148//AT3G53630//AT3G15460//AT1G79150//AT1G04170//AT1G67120//AT4G01560//AT3G57350//AT2G34750//AT1G20400//AT4G04030//AT4G32510//AT3G04920//AT3G02760//AT1G08610//AT3G05030//AT1G26880//AT1G64050//AT5G45095//AT5G02050//AT1G07930//AT5G23300//AT1G30680//AT1G67870//AT3G20300//AT1G02870//AT5G56680//AT3G06930//AT1G29395//AT1G08190//AT2G23350//AT3G13470//AT2G40030//AT5G40670//AT5G47455//AT1G03400//AT2G34260//AT3G21540//AT4G25630//AT5G45570//AT1G32550//AT2G19385//AT5G30490//AT5G16930//AT3G55510//AT5G57050//AT3G27180//AT2G33840//AT5G25754//AT3G02200//AT1G79190//AT3G62940//AT4G02820//AT2G18720//AT2G03670//AT5G37130//AT3G19630//AT4G27010//AT3G18610//AT3G04600//AT5G40770//AT1G06560//AT5G53540//AT5G14580//AT5G44980//AT2G42720//AT5G53860//AT1G09620//AT5G64420//AT2G06990//AT5G11310//AT1G10500//AT1G08360//AT3G16650//AT1G77030//AT5G08540//AT2G10440//AT3G29633//AT5G20890//AT2G27840//AT5G24280//AT4G05410//AT5G44320//AT5G42980//AT1G20370//AT3G27550//AT3G49240//AT2G18190//AT1G30160//AT3G49500//AT3G57940//AT1G70160//AT4G13750//AT2G40360//AT1G63660//AT3G60500//AT3G09630//AT3G18600//AT1G60770//AT5G52470//AT3G22860//AT5G46790//AT5G55920//AT3G51750//AT5G55510//AT1G62540//AT3G46210//AT3G09680//AT1G52160//AT1G26470//AT1G70440//AT1G08910//AT1G73490//AT5G06110//AT2G04030//AT5G26270//AT2G41190//AT3G62310//AT4G23540//AT3G26730//AT4G00930//AT4G19210//AT2G25625//AT5G37490//AT5G06360//AT3G47580//AT1G07920//AT3G14390//AT3G63130//AT3G57660//AT1G71280//AT4G31810//AT4G37090//AT1G13160//AT3G06530//AT5G65850//AT4G13150//AT4G02220//AT1G74270//AT4G39300//AT5G27620//AT2G47990//AT1G10840//AT3G56490//AT5G17710//AT5G27230//AT3G61630//AT5G27330//AT3G15080//AT4G35490//AT3G26410//AT4G25740//AT4G07410//AT4G17840//AT3G55620//AT4G32400//AT1G17690//AT2G18900//AT4G01860//AT2G44120//AT1G49920//AT1G21400//AT3G48500//AT5G11240//AT4G27640//AT1G27510//AT2G39990//AT1G05680//AT5G51020//AT3G16780//AT3G49660//AT2G39390//AT4G26600//AT1G06670//AT5G48240//AT3G11710//AT2G18020//AT5G41190//AT1G27470//AT1G74870//AT5G58610//AT3G55010//AT3G03060//AT4G04940//AT4G21770//AT1G32870//AT1G80410//AT3G56570//AT5G46430//AT1G10490//AT2G40450//AT3G12670//AT1G57660//AT5G17270//AT2G37990//AT5G52820//AT3G25940//AT4G25340//AT5G41970//AT1G48400//AT5G26180//AT2G07215//AT2G36160//AT3G58660//AT5G39740//AT5G20160//AT5G40490//AT4G14000	0.999988964434586	1
HYDROGEN_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO:0015078   hydrogen ion transmembrane transporter activity,    GOslim:molecular_function	3	736	MF	142	AT3G05030//AT3G15640//ATMG00160	0.704405499820608	1
ACTIN_FILAMENT-BASED_PROCESS	GO:0030029   actin filament-based process,    GOslim:biological_process	3	736	BP	259	AT2G06990//AT4G22720//AT5G42030	0.960396367216223	1
PLASTID_THYLAKOID_MEMBRANE	GO:0055035   plastid thylakoid membrane,    GOslim:cellular_component	9	736	CC	323	AT5G08540//AT5G16620//AT1G29395//ATCG00540//AT1G12250//AT3G15640//AT3G03920//AT4G37925//AT5G51540	0.447167996436692	1
HSF7_COL_A	HSF7_col_a(AT4G11660) Target genes predicted by DAP-seq	20	736	TFT	927	AT1G67680//AT3G42723//AT1G10490//AT5G37490//AT5G60960//AT2G18900//AT3G47450//AT5G14490//AT1G03110//AT2G03670//AT1G80410//AT3G49140//AT5G03740//AT1G65230//AT5G57490//AT3G16840//AT1G67120//AT5G22650//AT1G48570//AT5G23710	0.806580488661552	1
HAT2_COLAMP_A	HAT2_colamp_a(AT5G47370) Target genes predicted by DAP-seq	50	736	TFT	3713	AT5G25800//AT1G49760//AT2G36930//AT3G61630//AT4G39040//AT5G27330//AT3G44750//AT4G32400//AT4G22720//AT4G05410//AT1G73230//AT3G57000//AT5G42540//AT5G62370//AT5G46430//AT3G04920//AT1G10490//AT5G28235//AT3G49660//AT4G24480//AT5G41765//AT5G52650//AT1G63660//AT5G34869//AT4G04940//AT2G06990//AT5G11270//AT1G11070//AT2G15000//AT1G07930//AT1G03530//AT2G18110//AT4G23540//AT4G37380//AT1G27400//AT3G23940//AT5G40200//AT2G05220//AT2G07215//AT4G26600//AT2G03710//AT1G26630//AT3G03060//AT3G11410//AT1G31660//AT2G34357//AT1G72370//AT1G75240//AT5G40770//AT3G29633	0.999999960090147	1
ATHB53_COLAMP_A	ATHB53_colamp_a(AT5G66700) Target genes predicted by DAP-seq	113	736	TFT	5196	AT3G56340//AT1G03400//AT5G45140//AT2G34260//AT1G73230//AT3G21540//AT4G15850//AT4G31810//AT5G28235//AT4G37090//AT3G12390//AT1G32550//AT3G06530//AT5G67220//AT3G28070//AT3G56150//AT4G36580//AT4G27490//AT2G37990//AT3G55510//AT2G22490//AT3G05030//AT4G37380//AT3G27180//AT3G17970//AT2G21640//AT1G30580//AT4G27010//AT2G44120//AT3G20000//AT5G24840//AT5G52820//AT4G39040//AT4G00930//AT1G27470//AT3G01345//AT5G62370//AT4G35490//AT2G16570//AT5G41660//AT2G03550//AT1G73180//AT4G10480//AT3G52140//AT1G52980//AT3G55620//AT3G13580//AT3G16650//AT1G30240//AT5G03090//AT1G17690//AT5G40200//AT4G11211//AT5G55920//AT2G29200//AT5G25800//AT4G24830//AT5G24280//AT1G32580//AT3G02790//AT2G21450//AT1G62540//AT4G21490//AT1G06670//AT2G40570//AT1G70160//AT2G40360//AT2G47790//AT3G20050//AT5G35760//AT2G36070//AT3G58660//AT1G68660//AT1G04170//AT3G16840//AT1G75240//AT2G17670//AT3G12270//AT3G21950//AT3G22320//AT3G23620//AT1G68990//AT5G04150//AT1G67865//AT3G20440//AT3G24780//AT4G04030//AT4G32510//AT3G04920//AT1G10490//AT1G73490//AT4G37980//AT1G13160//AT5G52650//AT2G29540//AT5G62440//AT5G45095//AT4G13170//AT1G08910//AT4G01860//AT3G62310//AT4G23540//AT3G26730//AT2G39850//AT2G37270//AT2G25625//AT5G08180//AT3G11964//AT3G06930//AT1G29395//AT5G23710//AT5G58370//AT1G17960	0.975230433992097	1
LMI1_COLAMP_A	LMI1_colamp_a(AT5G03790) Target genes predicted by DAP-seq	252	736	TFT	13874	AT1G49760//AT2G39020//AT5G60670//AT5G57050//AT3G26730//AT3G62120//AT2G16650//AT2G30770//AT5G39850//AT2G34260//AT3G12670//AT1G18850//AT1G28395//AT2G27840//AT3G21540//AT5G42540//AT5G45570//AT1G57660//AT2G36170//AT4G15850//AT4G24830//AT4G31810//AT3G28270//AT5G28235//AT1G18800//AT2G20585//AT5G25754//AT4G37090//AT3G12390//AT1G32550//AT3G06530//AT5G67220//AT3G28070//AT4G29410//AT3G56150//AT1G02060//AT4G36580//AT1G36180//AT4G27490//AT5G15750//AT5G16930//AT1G29720//AT3G55510//AT1G03400//AT2G22490//AT5G64420//AT4G37380//AT4G04670//AT3G61620//AT3G27180//AT5G15420//AT5G55920//AT5G47930//AT3G17970//AT3G03341//AT2G06990//AT5G06550//AT3G27710//AT2G39990//AT5G14610//AT1G67120//AT2G21640//AT4G02820//AT3G48250//AT1G31660//AT4G27010//AT1G13160//AT2G34357//AT3G18610//AT2G44120//AT5G40770//AT4G02930//AT1G06560//AT3G57660//AT3G51800//AT5G24840//AT5G52820//AT3G57150//AT4G39040//AT2G18020//AT4G00930//AT1G27470//AT3G01345//AT5G27230//AT3G19440//AT4G35490//AT1G73230//AT5G53540//AT3G57000//AT5G07090//AT2G24050//AT2G16570//AT1G12920//AT5G41660//AT2G03550//AT5G44980//AT1G42440//AT4G25630//AT3G52140//AT2G18900//AT4G10480//AT3G49140//AT5G23900//AT4G07410//AT5G46160//AT5G11310//AT4G16180//AT1G68660//AT5G37440//AT5G08620//AT2G15000//AT1G52980//AT1G73680//AT2G18110//AT1G30240//AT5G01445//AT1G17690//AT5G40200//AT4G11211//AT3G16650//AT3G55620//AT2G10440//AT4G15730//AT2G29200//AT3G62310//AT2G03710//AT3G60960//AT3G03150//AT5G13280//AT5G05450//AT1G08910//AT3G62940//AT1G09810//AT5G25800//AT5G36900//AT2G03130//AT4G29030//AT5G24280//AT4G29200//AT1G27510//AT3G49660//AT1G32580//AT2G39850//AT1G12250//AT3G12080//AT3G02790//AT1G15930//AT5G08180//AT2G21450//AT1G47820//AT4G28450//AT3G16780//AT1G20370//AT3G28500//AT4G30150//AT1G09640//AT2G04050//AT5G23710//AT2G39390//AT1G29900//AT4G21490//AT2G40570//AT1G70160//AT3G05130//AT1G11070//AT4G13750//AT2G40360//AT2G04030//AT1G63660//AT3G47450//AT5G27330//AT3G09720//AT5G34869//AT2G47790//AT3G20050//AT5G52520//AT2G36070//AT2G05220//AT2G31660//AT4G30990//AT3G56490//AT1G74870//AT2G19385//AT3G53630//AT5G46790//AT3G58660//AT3G15080//AT1G79150//AT2G35240//AT1G04170//AT3G16840//AT1G75240//AT3G57940//AT2G17670//AT5G58420//AT5G10360//AT5G13940//AT3G12270//AT2G37990//AT3G21950//AT5G62370//AT3G22320//AT3G23620//AT1G80410//AT5G04150//AT3G60880//AT3G09680//AT3G20440//AT1G26470//AT3G24780//AT4G04030//AT4G21900//AT4G32510//AT3G04920//AT1G10490//AT5G42030//AT2G13430//AT1G73490//AT4G37980//AT3G57290//AT1G74560//AT1G03860//AT1G08610//AT5G52650//AT2G29540//AT3G05030//AT5G13780//AT1G26880//AT5G45095//AT4G25340//AT3G56070//AT1G07930//AT4G01860//AT1G01250//AT4G23540//AT1G17880//AT1G27400//AT2G34570//AT5G14580//AT3G20300//AT2G37270//AT4G15770//AT3G11964//AT1G26630//AT1G08190//AT3G11410//AT1G64600//AT4G14000//AT1G02870//AT3G11250//AT3G47580//AT1G17960	0.999999999999986	1
DRUG_TRANSMEMBRANE_TRANSPORT	GO:0006855   drug transmembrane transport,    GOslim:biological_process	3	736	BP	72	AT2G04050//AT2G04070//AT1G73700	0.287806682600798	1
PROTEIN_PEPTIDYL-PROLYL_ISOMERIZATION	GO:0000413   protein peptidyl-prolyl isomerization,    GOslim:biological_process	1	736	BP	21	AT4G25340	0.426406868268054	1
GUANYL_NUCLEOTIDE_BINDING	GO:0019001   guanyl nucleotide binding,    GOslim:molecular_function	19	736	MF	269	AT5G18570//AT1G08410//AT1G50920//AT5G25230//AT1G06720//AT1G07940//AT1G30960//AT1G52980//AT3G47450//AT1G07930//AT1G30580//AT2G18720//AT1G04170//AT1G17470//AT4G10620//AT3G12080//AT1G07920//AT5G58370//AT4G02930	0.000127918245634002	0.0118537395085642
MATURATION_OF_SSU-RRNA	GO:0030490   maturation of SSU-rRNA,    GOslim:biological_process	5	736	BP	9	AT3G04770//AT1G72370//AT5G20290//AT5G59240//AT3G04920	1.58058593433783e-05	0.00169764742936847
METHYLENETETRAHYDROFOLATE_DEHYDROGENASE_(NADP)_ACTIVITY	GO:0004488   methylenetetrahydrofolate dehydrogenase (NADP+) activity,    GOslim:molecular_function	1	736	MF	4	AT4G00620	0.118640141978985	1
SIGNAL_TRANSDUCER_ACTIVITY	GO:0004871   signal transducer activity,    GOslim:molecular_function	2	736	MF	275	AT2G38310//AT5G46790	0.992779430744005	1
SNORNA_BINDING	GO:0030515   snoRNA binding,    GOslim:molecular_function	4	736	MF	5	AT3G03920//AT5G52470//AT1G03530//AT4G25630	4.37553994994482e-05	0.00443263775322551
REGULATION_OF_PROTEIN_SERINE/THREONINE_PHOSPHATASE_ACTIVITY	GO:0080163   regulation of protein serine/threonine phosphatase activity,    GOslim:biological_process	1	736	BP	4	AT5G46790	0.118640141978985	1
